callsign,icao24,typecode,airport,timestamp
MSC2920,010263,UNKNOWN,LSZH,2026-03-01 16:47:08+00:00
RAM936R,02019f,UNKNOWN,LSZH,2026-03-01 09:20:01+00:00
QQE211,06a36d,UNKNOWN,LSZH,2026-03-01 11:54:31+00:00
DLA1RL,3003ae,E195,LSZH,2026-03-01 12:27:30+00:00
DLA5YW,3009b8,UNKNOWN,LSZH,2026-03-01 15:53:18+00:00
IBE06GH,34134e,A321,LSZH,2026-03-01 17:28:36+00:00
AEA21FZ,3453c1,B738,LSZH,2026-03-01 15:45:55+00:00
IBE06CH,34608f,A20N,LSZH,2026-03-01 12:38:03+00:00
AEA57RC,34750a,UNKNOWN,LSZH,2026-03-01 08:32:26+00:00
IBE06DT,3484d3,UNKNOWN,LSZH,2026-03-01 09:25:39+00:00
AFR49JR,3991e7,A320,LSZH,2026-03-01 12:47:55+00:00
AFR31WJ,39bb20,UNKNOWN,LSZH,2026-03-01 08:25:36+00:00
AFR81CE,39bdb1,UNKNOWN,LSZH,2026-03-01 16:31:34+00:00
FHSKJ,39c949,VTOR,LSZH,2026-03-01 11:08:30+00:00
EWG2H,3c48ea,A319,LSZH,2026-03-01 13:59:21+00:00
EWG7XR,3c4906,A320,LSZH,2026-03-01 11:48:26+00:00
EWG65A,3c4b4e,A320,LSZH,2026-03-01 17:19:26+00:00
EWG2HM,3c55c9,UNKNOWN,LSZH,2026-03-01 17:47:35+00:00
IFA1066,3c5824,CL60,LSZH,2026-03-01 08:24:33+00:00
VJH767,3c5853,E35L,LSZH,2026-03-01 17:06:29+00:00
DLH9LY,3c644e,A319,LSZH,2026-03-01 11:33:52+00:00
DLH6YP,3c6584,A319,LSZH,2026-03-01 17:41:06+00:00
DLH1RT,3c6585,A319,LSZH,2026-03-01 09:43:33+00:00
DLH3ET,3c65ce,A20N,LSZH,2026-03-01 18:16:54+00:00
DLH1TP,3c675a,A320,LSZH,2026-03-01 15:15:27+00:00
CFG1UX,3c787a,UNKNOWN,LSZH,2026-03-01 08:16:32+00:00
CFG8RK,3c787a,UNKNOWN,LSZH,2026-03-01 13:54:55+00:00
ELG64B,3c78e2,CL60,LSZH,2026-03-01 16:31:26+00:00
SFG55C,3cc1db,E55P,LSZH,2026-03-01 15:38:52+00:00
ECA4US,3cccaa,C25C,LSZH,2026-03-01 15:30:30+00:00
PTN85U,3ce5d5,UNKNOWN,LSZH,2026-03-01 14:09:18+00:00
PTN85U,3ce5d5,UNKNOWN,LSZH,2026-03-01 16:01:16+00:00
PTN52M,3ce690,UNKNOWN,LSZH,2026-03-01 15:24:45+00:00
PTN78N,3ce690,UNKNOWN,LSZH,2026-03-01 09:04:47+00:00
PAV602,3cf571,C25B,LSZH,2026-03-01 17:40:17+00:00
DESAC,3d3432,C172,LSZH,2026-03-01 15:02:21+00:00
DGALF,3d8f1b,PA30,LSZH,2026-03-01 15:28:51+00:00
XRO1087,3e32f6,UNKNOWN,LSZH,2026-03-01 12:39:37+00:00
XRO1087,3e32f6,UNKNOWN,LSZH,2026-03-01 14:47:52+00:00
JPV148,3e46e1,PRM1,LSZH,2026-03-01 10:27:53+00:00
JPV148,3e46e1,PRM1,LSZH,2026-03-01 17:41:58+00:00
EZY62TC,40631b,A319,LSZH,2026-03-01 09:57:43+00:00
CFE37Y,40650b,E190,LSZH,2026-03-01 14:01:17+00:00
BAW708,406532,A320,LSZH,2026-03-01 08:39:20+00:00
BAW718Y,40697b,A320,LSZH,2026-03-01 15:38:40+00:00
BAW712T,40697c,A320,LSZH,2026-03-01 10:04:56+00:00
EZY96YB,406c72,A320,LSZH,2026-03-01 14:52:14+00:00
BAW14R,407535,A20N,LSZH,2026-03-01 13:55:15+00:00
CFE11L,407777,E190,LSZH,2026-03-01 17:01:02+00:00
BAW714T,407fca,UNKNOWN,LSZH,2026-03-01 11:37:20+00:00
LJC9,408166,UNKNOWN,LSZH,2026-03-01 17:57:35+00:00
EJU74UK,440030,A320,LSZH,2026-03-01 15:28:04+00:00
AUA143P,44004f,A320,LSZH,2026-03-01 17:08:07+00:00
AUA13D,44006c,A320,LSZH,2026-03-01 12:53:27+00:00
BOM1,4401d4,UNKNOWN,LSZH,2026-03-01 08:07:02+00:00
BOM1,4401d4,UNKNOWN,LSZH,2026-03-01 15:37:34+00:00
AUA14D,440604,A320,LSZH,2026-03-01 18:30:05+00:00
AUA135,440c8c,A321,LSZH,2026-03-01 09:39:15+00:00
AUA141,440c8c,A321,LSZH,2026-03-01 14:58:22+00:00
EJU37AL,440cc1,A20N,LSZH,2026-03-01 08:24:58+00:00
BEL5LY,44cdce,A320,LSZH,2026-03-01 09:36:02+00:00
BEL9JR,44ce72,A319,LSZH,2026-03-01 14:55:43+00:00
GPX600,4520fb,B734,LSZH,2026-03-01 17:50:14+00:00
LZB491,452163,UNKNOWN,LSZH,2026-03-01 14:05:50+00:00
FIN6AP,461f65,A320,LSZH,2026-03-01 08:36:00+00:00
FIN5DL,461fa8,A321,LSZH,2026-03-01 17:25:42+00:00
FSF812A,461fbd,PC12,LSZH,2026-03-01 09:44:19+00:00
AEE852,4691c2,A320,LSZH,2026-03-01 16:37:18+00:00
AEE5SZ,46b828,A21N,LSZH,2026-03-01 08:37:30+00:00
SAS607,47bb0a,A20N,LSZH,2026-03-01 18:29:15+00:00
KLM99V,48415e,B738,LSZH,2026-03-01 15:21:27+00:00
KLM91X,48415f,B738,LSZH,2026-03-01 16:58:51+00:00
KLM1921,48548e,E75L,LSZH,2026-03-01 11:58:57+00:00
PHJRC,485f59,E35L,LSZH,2026-03-01 10:41:18+00:00
KLM29A,486651,UNKNOWN,LSZH,2026-03-01 09:52:47+00:00
LOT7VR,48af0f,UNKNOWN,LSZH,2026-03-01 07:54:45+00:00
LOT7VA,48e95b,UNKNOWN,LSZH,2026-03-01 17:36:41+00:00
NJE643Y,491187,F2TH,LSZH,2026-03-01 16:29:42+00:00
NJE964C,49130f,C56X,LSZH,2026-03-01 11:17:00+00:00
NJE266M,491d8d,UNKNOWN,LSZH,2026-03-01 13:07:28+00:00
TAP93ZR,4951cd,A320,LSZH,2026-03-01 11:20:14+00:00
TAP932,4951d8,A320,LSZH,2026-03-01 15:54:13+00:00
SAS841,4aca76,UNKNOWN,LSZH,2026-03-01 11:19:45+00:00
SWR1629,4b028a,E290,LSZH,2026-03-01 14:20:07+00:00
SWR1TW,4b028a,E290,LSZH,2026-03-01 10:51:04+00:00
SWR4QZ,4b028c,E290,LSZH,2026-03-01 14:57:59+00:00
SWR1HB,4b028d,E290,LSZH,2026-03-01 09:49:35+00:00
SWR47D,4b028d,E290,LSZH,2026-03-01 18:21:41+00:00
SWR817,4b028d,E290,LSZH,2026-03-01 14:28:50+00:00
SWR2ZT,4b028e,E290,LSZH,2026-03-01 14:54:08+00:00
SWR9FX,4b028e,E290,LSZH,2026-03-01 10:34:10+00:00
SWR486T,4b0291,E290,LSZH,2026-03-01 15:09:55+00:00
SWR8KW,4b0291,E290,LSZH,2026-03-01 09:19:27+00:00
SWR319V,4b0292,E295,LSZH,2026-03-01 09:51:34+00:00
SWR596Y,4b0292,E295,LSZH,2026-03-01 14:08:57+00:00
SWR2DV,4b0293,E295,LSZH,2026-03-01 09:47:05+00:00
SWR4HF,4b0293,E295,LSZH,2026-03-01 15:06:39+00:00
SWR457,4b0294,E295,LSZH,2026-03-01 15:49:11+00:00
HUE12P,4b0dd0,UNKNOWN,LSZH,2026-03-01 12:39:30+00:00
HBFLX,4b0e69,UNKNOWN,LSZH,2026-03-01 16:46:35+00:00
HBFXI,4b0f92,PC12,LSZH,2026-03-01 12:27:06+00:00
SWR4Y,4b15a2,UNKNOWN,LSZH,2026-03-01 09:12:35+00:00
EDW25,4b15d6,UNKNOWN,LSZH,2026-03-01 10:29:18+00:00
EDW87,4b15d7,UNKNOWN,LSZH,2026-03-01 18:20:32+00:00
EDW35Y,4b15db,UNKNOWN,LSZH,2026-03-01 09:14:53+00:00
EDW403Y,4b15ed,A320,LSZH,2026-03-01 10:15:02+00:00
EDW131G,4b15ee,A320,LSZH,2026-03-01 15:34:57+00:00
EDW23BD,4b15ef,A320,LSZH,2026-03-01 14:26:26+00:00
SWR5EW,4b1618,A320,LSZH,2026-03-01 09:22:54+00:00
SWR8MH,4b1618,A320,LSZH,2026-03-01 15:15:50+00:00
SWR3KP,4b1619,A320,LSZH,2026-03-01 15:34:13+00:00
SWR5YW,4b161b,A320,LSZH,2026-03-01 15:51:10+00:00
EDW121Q,4b161e,A320,LSZH,2026-03-01 10:17:44+00:00
SWR9WF,4b1620,A320,LSZH,2026-03-01 10:40:26+00:00
SWR2GE,4b168f,A321,LSZH,2026-03-01 09:38:49+00:00
SWR4TD,4b168f,A321,LSZH,2026-03-01 15:29:06+00:00
SWR262C,4b1691,A321,LSZH,2026-03-01 17:55:46+00:00
SWR96M,4b1691,A321,LSZH,2026-03-01 10:25:11+00:00
SWR589X,4b1693,A321,LSZH,2026-03-01 16:57:47+00:00
SWR9HE,4b1693,A321,LSZH,2026-03-01 09:48:35+00:00
SWR5KV,4b1699,A321,LSZH,2026-03-01 13:59:49+00:00
SWR3HY,4b17de,BCS1,LSZH,2026-03-01 09:50:05+00:00
SWR493Z,4b17de,BCS1,LSZH,2026-03-01 14:45:34+00:00
SWR2XC,4b17e2,BCS1,LSZH,2026-03-01 10:32:59+00:00
SWR3MV,4b17e2,BCS1,LSZH,2026-03-01 14:44:55+00:00
SWR39W,4b17e3,BCS1,LSZH,2026-03-01 09:00:34+00:00
SWR7FW,4b17e5,BCS1,LSZH,2026-03-01 16:07:25+00:00
SWR9MH,4b17e5,BCS1,LSZH,2026-03-01 09:34:10+00:00
SWR4LT,4b17fd,BCS3,LSZH,2026-03-01 15:11:59+00:00
SWR7KT,4b17fd,BCS3,LSZH,2026-03-01 09:48:16+00:00
SWR502V,4b1801,BCS3,LSZH,2026-03-01 10:43:59+00:00
SWR7ZV,4b1802,BCS3,LSZH,2026-03-01 14:14:06+00:00
SWR41D,4b1803,BCS3,LSZH,2026-03-01 09:00:55+00:00
SWR7PZ,4b1803,BCS3,LSZH,2026-03-01 14:58:49+00:00
SWR9YD,4b1804,BCS3,LSZH,2026-03-01 09:29:32+00:00
SWR5PG,4b1807,BCS3,LSZH,2026-03-01 08:34:16+00:00
SWR2HY,4b180c,BCS3,LSZH,2026-03-01 14:11:03+00:00
SWR7AK,4b180c,BCS3,LSZH,2026-03-01 10:00:17+00:00
SWR3XM,4b1815,A20N,LSZH,2026-03-01 10:21:56+00:00
SWR438A,4b1815,A20N,LSZH,2026-03-01 18:06:32+00:00
SWR8HG,4b1817,A20N,LSZH,2026-03-01 10:11:07+00:00
SWR3BY,4b181a,UNKNOWN,LSZH,2026-03-01 18:35:36+00:00
SWR9EX,4b181c,UNKNOWN,LSZH,2026-03-01 14:35:48+00:00
SWR19C,4b187a,A333,LSZH,2026-03-01 09:36:04+00:00
SWR15X,4b187c,A333,LSZH,2026-03-01 08:42:32+00:00
SWR2K,4b187e,A333,LSZH,2026-03-01 09:00:14+00:00
SWR9G,4b1887,A333,LSZH,2026-03-01 08:47:45+00:00
EDW289K,4b18b9,A320,LSZH,2026-03-01 11:04:28+00:00
PJZ063,4b18d9,UNKNOWN,LSZH,2026-03-01 09:22:42+00:00
PJZ063,4b18d9,UNKNOWN,LSZH,2026-03-01 11:09:32+00:00
PJZ063,4b18d9,UNKNOWN,LSZH,2026-03-01 13:26:07+00:00
SWR4CA,4b18f1,A320,LSZH,2026-03-01 15:13:51+00:00
SWR5GT,4b18f1,A320,LSZH,2026-03-01 09:36:59+00:00
EDW215P,4b18f2,A320,LSZH,2026-03-01 15:12:24+00:00
EDW1305,4b18f3,A320,LSZH,2026-03-01 15:12:15+00:00
EDW5103,4b18f4,A320,LSZH,2026-03-01 16:13:17+00:00
EDW11Y,4b18f5,A320,LSZH,2026-03-01 15:30:41+00:00
SWR189,4b18fc,A343,LSZH,2026-03-01 17:25:28+00:00
EDW67,4b1900,A343,LSZH,2026-03-01 16:21:37+00:00
SWR161,4b1916,B77W,LSZH,2026-03-01 17:38:06+00:00
SWR65,4b1917,B77W,LSZH,2026-03-01 09:43:14+00:00
SWR39,4b191c,B77W,LSZH,2026-03-01 13:39:30+00:00
SWR41G,4b191d,B77W,LSZH,2026-03-01 13:17:13+00:00
SWR181,4b191e,B77W,LSZH,2026-03-01 17:59:15+00:00
SWR93,4b1920,B77W,LSZH,2026-03-01 08:41:16+00:00
CSW445,4b1939,A319,LSZH,2026-03-01 14:52:30+00:00
CSW1PR,4b193f,A320,LSZH,2026-03-01 09:14:48+00:00
SWR5XH,4b194b,A21N,LSZH,2026-03-01 18:32:48+00:00
SWR80K,4b194b,A21N,LSZH,2026-03-01 12:56:13+00:00
SWR2LX,4b194d,UNKNOWN,LSZH,2026-03-01 15:10:20+00:00
SWR1CZ,4b194e,UNKNOWN,LSZH,2026-03-01 10:40:03+00:00
SWR1MC,4b194f,UNKNOWN,LSZH,2026-03-01 15:04:16+00:00
SWR3KH,4b194f,UNKNOWN,LSZH,2026-03-01 09:23:26+00:00
SWR295G,4b19ef,UNKNOWN,LSZH,2026-03-01 15:01:27+00:00
SWR2GZ,4b19f5,E190,LSZH,2026-03-01 14:46:24+00:00
SWR8CD,4b19f5,E190,LSZH,2026-03-01 10:49:21+00:00
SWR211D,4b19fc,UNKNOWN,LSZH,2026-03-01 10:44:16+00:00
SWR2PH,4b19fc,UNKNOWN,LSZH,2026-03-01 15:19:50+00:00
SWR1YT,4b19ff,UNKNOWN,LSZH,2026-03-01 16:04:23+00:00
SWR2WX,4b19ff,UNKNOWN,LSZH,2026-03-01 10:21:24+00:00
SAZ72,4b1a02,CL60,LSZH,2026-03-01 12:36:39+00:00
EZS85JU,4b1a2b,A320,LSZH,2026-03-01 10:32:59+00:00
HBKIS,4b1b4a,UNKNOWN,LSZH,2026-03-01 12:38:07+00:00
HBOMN,4b263d,P28A,LSZH,2026-03-01 11:10:52+00:00
HBOMN,4b263d,P28A,LSZH,2026-03-01 13:25:54+00:00
HBPKR,4b28b1,P28A,LSZH,2026-03-01 12:47:50+00:00
HBSAJ,4b2f91,UNKNOWN,LSZH,2026-03-01 13:48:17+00:00
HBSAJ,4b2f91,UNKNOWN,LSZH,2026-03-01 15:27:23+00:00
CAZ301,4b3778,UNKNOWN,LSZH,2026-03-01 17:43:46+00:00
LUC2M,4b37a8,UNKNOWN,LSZH,2026-03-01 10:14:12+00:00
HBVCP,4b37b7,UNKNOWN,LSZH,2026-03-01 15:14:27+00:00
CAZ201,4b3810,UNKNOWN,LSZH,2026-03-01 11:23:34+00:00
HBZWD,4b4443,B505,LSZH,2026-03-01 14:43:05+00:00
TKJ6ER,4b9e06,UNKNOWN,LSZH,2026-03-01 11:25:14+00:00
THY70F,4bab2d,B739,LSZH,2026-03-01 08:05:14+00:00
THY51N,4bb1e2,A333,LSZH,2026-03-01 15:40:05+00:00
THY30R,4bb274,A21N,LSZH,2026-03-01 12:03:14+00:00
PGT5ZR,4bc883,A21N,LSZH,2026-03-01 08:08:34+00:00
PGT47LK,4bc889,UNKNOWN,LSZH,2026-03-01 12:14:07+00:00
SXS38K,4bce0b,UNKNOWN,LSZH,2026-03-01 11:37:05+00:00
SXS63F,4bce19,UNKNOWN,LSZH,2026-03-01 10:56:02+00:00
ASL81Z,4c0260,UNKNOWN,LSZH,2026-03-01 12:47:54+00:00
EIN34G,4ca292,A320,LSZH,2026-03-01 18:06:59+00:00
GJI55H,4cab4f,GLF5,LSZH,2026-03-01 13:45:25+00:00
SAS609,4cac79,A20N,LSZH,2026-03-01 18:32:45+00:00
SAS601,4cad92,UNKNOWN,LSZH,2026-03-01 08:01:39+00:00
SAS88J,4cadda,UNKNOWN,LSZH,2026-03-01 16:30:12+00:00
SAS603,4cafd7,CRJ9,LSZH,2026-03-01 12:34:22+00:00
LXPCL,4d02df,L39,LSZH,2026-03-01 11:20:29+00:00
KMM3492,4d2035,UNKNOWN,LSZH,2026-03-01 10:58:06+00:00
AJD19ST,4d20b9,CL64,LSZH,2026-03-01 11:24:42+00:00
VJT418,4d2127,CL35,LSZH,2026-03-01 18:15:39+00:00
VJT783,4d22f5,GL7T,LSZH,2026-03-01 08:06:55+00:00
VJT783,4d22f5,GL7T,LSZH,2026-03-01 09:48:39+00:00
EWG59G,4d240d,A320,LSZH,2026-03-01 13:40:57+00:00
KMM490,4d24ba,UNKNOWN,LSZH,2026-03-01 15:22:02+00:00
TEU7,4d250d,UNKNOWN,LSZH,2026-03-01 16:16:45+00:00
T7EMI,50031c,UNKNOWN,LSZH,2026-03-01 10:06:01+00:00
CTN6CH,501c3b,UNKNOWN,LSZH,2026-03-01 18:00:47+00:00
CTN460,501d18,A319,LSZH,2026-03-01 08:32:12+00:00
SWR339H,502cc8,BCS3,LSZH,2026-03-01 10:22:51+00:00
SWR25E,502d28,BCS3,LSZH,2026-03-01 15:07:42+00:00
SWR2TM,502d28,BCS3,LSZH,2026-03-01 09:55:10+00:00
SWR919F,502d3f,BCS3,LSZH,2026-03-01 18:21:13+00:00
SWR935L,502d3f,BCS3,LSZH,2026-03-01 14:17:08+00:00
BTI9AG,502d59,BCS3,LSZH,2026-03-01 17:03:53+00:00
ASL57K,502d7a,UNKNOWN,LSZH,2026-03-01 18:27:52+00:00
SWR83B,502da9,UNKNOWN,LSZH,2026-03-01 14:56:23+00:00
SWR97Q,502da9,UNKNOWN,LSZH,2026-03-01 10:31:41+00:00
SWR32W,502dac,UNKNOWN,LSZH,2026-03-01 16:44:46+00:00
SWR37V,502dac,UNKNOWN,LSZH,2026-03-01 10:00:12+00:00
FIX005,506c45,UNKNOWN,LSZH,2026-03-01 13:17:44+00:00
FIX005,506c45,UNKNOWN,LSZH,2026-03-01 14:51:19+00:00
MNE310,516097,E195,LSZH,2026-03-01 10:35:32+00:00
KAL567,71c076,B77L,LSZH,2026-03-01 16:38:35+00:00
PVA1553,a320e5,UNKNOWN,LSZH,2026-03-01 11:04:18+00:00
DAL52,ab4489,B764,LSZH,2026-03-01 09:46:37+00:00
ACA880,c0172e,B77L,LSZH,2026-03-01 08:21:27+00:00
